stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R07,crossing_007,feedback_hypothetical,crossing,False,True,goal,15.34,16.835691888434866,16.832040552070698,16.979426390368037,0.8506493506493507,0.04984480050515615,0.0,0.05194805194805195
R07,crossing_007,open_constrained,crossing,False,False,timeout,,3.6212343675479683,3.5301739682505797,39.7220409691645,0.9925,0.0024072858013700015,0.0,0.0075
R07,crossing_007,open_hypothetical,crossing,False,False,timeout,,4.004671271344297,3.8149229516300363,39.848437746781165,0.99,0.000981825427487806,0.0,0.0025
R07,crossing_008,feedback_constrained,crossing,True,False,collision,,10.246542536626523,-1.9453221484151157,27.4251379050043,0.4338983050847458,0.3905751564723165,0.0,0.5694915254237288
R07,crossing_008,feedback_hypothetical,crossing,False,True,goal,20.28,17.53458671831491,17.43433114367395,18.60660913674289,0.6600985221674878,0.14066429638123176,0.0,0.4088669950738916
R07,crossing_008,open_constrained,crossing,False,False,timeout,,2.64651417963654,1.7052015765221533,34.56277767148136,0.97,0.01222610968825657,0.0,0.0275
R07,crossing_008,open_hypothetical,crossing,False,False,timeout,,5.6871449298324475,4.173052286668865,34.97423571763146,0.9875,0.0019031523516202338,0.0,0.0075
R07,crossing_009,feedback_constrained,crossing,False,True,goal,24.56,18.98511839660463,18.418848340332147,25.897173345910137,0.7195121951219512,0.1752422479557274,0.0,0.2032520325203252
R07,crossing_009,feedback_hypothetical,crossing,True,False,collision,,11.179643197150414,11.174151918112049,11.221161310926867,0.7474747474747474,0.13521638134263314,0.0,0.36363636363636365
R07,crossing_009,open_constrained,crossing,False,False,timeout,,3.4609831335720482,3.4509483896322877,39.906768441103594,0.98,0.00801970392792683,0.0,0.02
R07,crossing_009,open_hypothetical,crossing,False,False,timeout,,3.5299366708109012,3.5088359701548875,39.96842905423006,0.9875,0.0035328470203965703,0.0,0.0125
R07,crossing_010,feedback_constrained,crossing,False,True,goal,20.500000000000004,16.360846498955738,15.95276527417564,20.78605530499224,0.7121951219512195,0.16265129674890208,0.0,0.23902439024390243
R07,crossing_010,feedback_hypothetical,crossing,True,False,collision,,8.075296098838198,8.070939118146299,8.109811443832365,0.7272727272727273,0.184346232421134,0.0,0.4155844155844156
R07,crossing_010,open_constrained,crossing,False,False,timeout,,1.7859467694573317,1.7077241487614252,38.45021625037906,0.985,0.005399732940804763,0.0,0.0125
